degree,major,cgpa,skills,job_role
B.Com,Mass Communication,7.3,"Content Marketing, Git, PPC, SEO, Social Media",Digital Marketing Specialist
B.Tech,Civil,7.36,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Problem Solving",Electrical Engineer
Diploma,Journalism,6.9,"Excel, Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.Com,Operations,7.28,"ERP, Lean, Operations Management, Process Improvement, Six Sigma, Supply Chain",Operations Manager
B.Sc,Data Science,7.67," SQL, Deep Learning, Java, PyTorch, Python",AI Engineer
B.Tech,Structural,8.42,"Circuit Design, MATLAB, PCB Design, Power Systems",Electrical Engineer
M.Des,Animation,7.27,"Content Strategy, Editing, Research, SEO, WordPress",Content Writer
B.Sc,Computer Science,6.95,"Firewall, Incident Response, Network Security, Penetration Testing, Python, SIEM",Cybersecurity Analyst
B.Com,Marketing,6.98,"Communication, Market Research, Social Media",Marketing Executive
LLM,Law,8.71,"Compliance, Contract Law, Drafting, Legal Research, Negotiation",Legal Advisor
MBA,Finance,7.96,"Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
B.Tech,Civil,6.65,"ANSYS, CAD, MATLAB, Manufacturing, SolidWorks",Mechanical Engineer
B.Tech,Mechanical,7.82,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems",Electrical Engineer
M.Des,Game Design,6.07,"Branding, Figma, InDesign, UI Design",Graphic Designer
B.Sc,Data Science,7.18,"Azure, CI/CD, GCP, Linux",Cloud Engineer
M.Tech,Computer Science,6.85,"Communication, Excel, Financial Modeling, Linux, Python",Financial Analyst
B.Sc,Information Technology,6.01,"AWS, CI/CD, Docker, GCP, Kubernetes, Linux",Cloud Engineer
B.Sc,Game Design,7.69,"3D Modeling, C++, Unity, Unreal Engine",Game Developer
M.Tech,Structural,7.91,"ANSYS, CAD, Manufacturing, Thermodynamics",Mechanical Engineer
B.Sc,Pharmacy,8.7,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
B.Sc,Networking,7.76,"Cisco, Linux, Network Monitoring, Routing, Switching",Network Administrator
B.Sc,Animation,7.37,"Content Strategy, Research, WordPress",Content Writer
B.Tech,Operations,6.81,"Accounting, Bloomberg, Excel, Financial Modeling, Git, Valuation",Financial Analyst
B.Sc,Data Science,7.17,"Communication, Data Analysis, Experiment Design, LaTeX, Statistics",Research Scientist
B.Tech,Marketing,7.92,"Accounting, Bloomberg, Excel, Financial Modeling, Power BI, SQL",Financial Analyst
B.E.,Production,7.81,"CAD, Docker, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
B.Sc,Networking,5.97,"Incident Response, Network Security, Penetration Testing, SIEM",Cybersecurity Analyst
B.E.,Information Technology,8.38,"Linux, Network Monitoring, Routing, Switching, TCP/IP",Network Administrator
B.Tech,Civil,6.4,"AutoCAD, Construction, Docker, Structural Analysis, Surveying",Civil Engineer
M.Tech,Civil,9.44,"C++, Electronics, Microcontrollers, Python, RTOS",Embedded Systems Engineer
B.Sc,Journalism,8.03,"Game Design, Unity, Unreal Engine",Game Developer
B.Tech,Mechanical,7.12,"Construction, Project Management, STAAD.Pro",Civil Engineer
B.Sc,Computer Science,6.58,"Azure, GCP, Kubernetes, Terraform",Cloud Engineer
B.Com,Finance,6.69,"Agile, Product Strategy, Stakeholder Management, User Stories",Product Manager
B.Tech,Business,9.44,"Accounting, Communication, Excel, Statistics",Financial Analyst
B.Tech,Electronics,7.97," Model Deployment,  React, Algorithms, C++, Linux, PyTorch, REST APIs, Thermodynamics",Software Engineer
B.Tech,Civil,7.99,"Accounting, Communication, Excel, M&A, Valuation",Investment Banker
B.Pharm,Pharmacy,6.73,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
BBA,Marketing,8.37,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
MBA,Business Administration,8.02,"ERP, Operations Management, Six Sigma, Supply Chain",Operations Manager
M.Tech,Business,8.63,"Communication, Excel, Finance, M&A, Valuation",Investment Banker
B.A.,Marketing,7.52,"Google Analytics, PPC, SEM, SEO",Digital Marketing Specialist
Pharmacy,Pharmacy,8.46,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance, SQL",Pharmacist
B.E.,Networking,6.57,"CSS, Docker, HTML, JavaScript, REST APIs, React",Web Developer
M.Sc,Computer Science,9.04,"CAD, Mechanics, Thermodynamics",Mechanical Engineer
B.Tech,Statistics,7.88,"LaTeX, Linux, Python, Research Methods",Research Scientist
B.Des,Design,8.08,"Content Strategy, Copywriting, Editing, SEO, WordPress",Content Writer
Ph.D,Statistics,8.09,"Backup & Recovery, Performance Tuning, PostgreSQL, Problem Solving",Database Administrator
M.Tech,Production,6.7,"AutoCAD, Construction, Project Management, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
B.A.,Design,7.37,"3D Modeling, C++, Linux, Unity, Unreal Engine",Game Developer
B.Des,Game Design,7.88,"Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.Tech,Mechanical,7.59,"Circuit Design, Embedded Systems, PCB Design, Power Systems",Electrical Engineer
B.Tech,Civil,7.31," HTML,  Model Deployment,  Node.js, C++, Data Structures, Machine Learning, Python, SQL",Software Engineer
B.Pharm,Pharmacy,7.96,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology",Pharmacist
B.Sc,Computer Science,7.03,"Python, Research Methods, Statistics",Research Scientist
M.Des,Graphic Design,8.77,"3D Modeling, Shader Programming, Unity",Game Developer
B.Sc,Game Design,8.14,"Adobe Photoshop, Branding, Figma, Typography, UI Design",Graphic Designer
B.E.,Production,7.48,"Circuit Design, MATLAB, PCB Design",Electrical Engineer
B.Tech,Mechanical,8.89,"ANSYS, CAD, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
BBA,Finance,7.6,"Campaign Management, Communication, SEO, Social Media",Marketing Executive
B.Tech,Information Technology,7.1,"Backup & Recovery, NoSQL, Performance Tuning, PostgreSQL, SQL",Database Administrator
B.E.,Statistics,6.74," Requirements Gathering,  Stakeholder Management, Data Visualization, Power BI, Python, SQL, Statistics, Tableau",Data Analyst
B.Tech,Mathematics,6.49,"AWS, Azure, Docker, Linux, Terraform",Cloud Engineer
B.Sc,Finance,9,"AutoCAD, CNC, Excel, Lean Manufacturing, Matlab",Manufacturing Engineer
B.Tech,Electrical,7.1,"Circuit Design, Embedded Systems, Power Systems",Electrical Engineer
M.Com,Human Resources,6.41,"Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
M.Tech,Electrical,7.87,"AutoCAD, Project Management, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
B.Sc,AI & ML,6.83," SQL,  UML, Excel, Power BI, Statistics",Data Analyst
B.Tech,Business,9.2,"C++, Electronics, Python",Embedded Systems Engineer
M.Tech,Electronics,8.47,"AutoCAD, CNC, Excel, Lean Manufacturing, Matlab",Manufacturing Engineer
M.Com,Finance,8.57,"Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
B.Des,Design,6.39,"3D Modeling, C#, Game Design, Shader Programming, Teamwork, Unity",Game Developer
M.Sc,Business,6.51," JavaScript,  Node.js,  Teamwork, C++, Data Structures, Java, Machine Learning, Python, SQL",Software Engineer
B.Tech,Information Technology,7.38," Linux, Algorithms, Machine Learning, Model Deployment, PyTorch",AI Engineer
B.Tech,Data Science,7.36,"AWS, Kubernetes, Linux",Cloud Engineer
B.Tech,Finance,6.96,"Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
B.Sc,Electronics,6.07," HTML,  MongoDB,  PyTorch, Java, Machine Learning, Python, SQL",Software Engineer
B.Tech,Electronics,7.18,"Cisco, Linux, Network Monitoring, Problem Solving, Routing, Switching, TCP/IP",Network Administrator
B.Tech,Business,7.22,"Communication, Excel, Python, Statistics",Financial Analyst
B.Com,Marketing,6.78,"Accounting, Bloomberg, Financial Modeling, Power BI, Teamwork, Valuation",Financial Analyst
B.Tech,Electrical,6.61,"ANSYS, Communication, MATLAB, Thermodynamics",Mechanical Engineer
B.E.,Computer Science,7.6,"Firewall, Python, SIEM",Cybersecurity Analyst
B.Tech,Operations,6.09,"Agile, Roadmapping, User Stories",Product Manager
MBA,Finance,7.47,"Agile, Product Strategy, Stakeholder Management, User Stories",Product Manager
BBA,Finance,7.54,"Communication, ERP, Lean, Operations Management, Process Improvement, Six Sigma, Supply Chain",Operations Manager
B.E.,Mechanical,6,"Circuit Design, Communication, Embedded Systems, MATLAB, PCB Design, Power Systems",Electrical Engineer
B.Tech,Computer Science,8.24,"Cisco, Linux, Network Monitoring, Routing, Switching, TCP/IP",Network Administrator
B.Pharm,Pharmacy,6.69,"Clinical Knowledge, Drug Dispensing, Regulatory Compliance",Pharmacist
B.Tech,Human Resources,8.52,"Employee Engagement, Excel, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
Diploma,Civil,7.34,"AutoCAD, Construction, Project Management, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
MBA,Operations,6.36,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
M.Tech,Production,6.84,"AutoCAD, Project Management, Structural Analysis",Civil Engineer
B.Sc,Civil,9.76,"AutoCAD, CNC, Excel, Matlab, SolidWorks",Manufacturing Engineer
Diploma,Design,8.65,"Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
BBA,Operations,8.21," SQL, Power BI, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
MBA,Electronics,8.48,"Accounting, Communication, Finance, SQL, Valuation",Investment Banker
MBA,Electronics,8.91,"CAD, Materials, Matlab, Mechanics, Thermodynamics",Mechanical Engineer
MBA,Mass Communication,7.43,"Content Marketing, Google Analytics, PPC, SEM, SEO, Social Media",Digital Marketing Specialist
M.Com,Finance,7.02,"Accounting, Bloomberg, Financial Modeling, Linux, Power BI, SQL, Valuation",Financial Analyst
M.Com,Human Resources,7.44,"Product Strategy, Stakeholder Management, User Stories",Product Manager
M.Com,Business Administration,8.52,"Metrics, Product Strategy, User Stories",Product Manager
B.Tech,Finance,6.71," SQL, Data Visualization, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
B.Tech,Finance,8.17," Excel,  Power BI, Requirements Gathering, Stakeholder Management, UML",Business Analyst
B.Tech,Data Science,9.35," Git,  Linux, Machine Learning, Model Deployment, Teamwork, TensorFlow",AI Engineer
B.Tech,Electronics,8.23,"Accounting, Communication, M&A",Investment Banker
B.Tech,Human Resources,8.3,"Roadmapping, Stakeholder Management, User Stories",Product Manager
B.A.,Business Administration,8.05,"Content Marketing, PPC, SEM, Social Media",Digital Marketing Specialist
B.Tech,Operations,7.1,"HR Policies, Labor Laws, Recruitment, SQL",Hr Manager
M.Sc,Mechanical,8.93,"CAD, Materials, Matlab, Statistics, Thermodynamics",Mechanical Engineer
Diploma,Game Design,7.47,"Communication, Figma, User Research, Wireframing",Ux/Ui Designer
B.E.,Networking,7.98,"Linux, Routing, Switching, TCP/IP",Network Administrator
B.Sc,Pharmacy,7.54,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
BBA,Finance,7.62,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
B.A.,Animation,9.13,"Content Strategy, Copywriting, Editing, Research, WordPress",Content Writer
M.Com,Business Administration,8.14,"Product Strategy, Roadmapping, Stakeholder Management",Product Manager
B.Sc,English,7.25,"Adobe Photoshop, Branding, Docker, Illustrator, InDesign, Typography, UI Design",Graphic Designer
M.Com,Business Administration,8.93," Statistics, Pandas, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
M.Tech,AI & ML,6.9,"Data Analysis, Experiment Design, Research Methods, Statistics",Research Scientist
MBA,Human Resources,6.84,"Accounting, Bloomberg, Excel",Financial Analyst
B.Com,Business Administration,5.87,"Accounting, Bloomberg, Excel, SQL, Valuation",Financial Analyst
LLM,Law,9.45,"Compliance, Contract Law, Legal Research, Linux",Legal Advisor
M.Des,Animation,6.46,"Adobe Photoshop, Branding, Figma, Typography",Graphic Designer
MBA,Human Resources,6.93,"Employee Engagement, HR Policies, Performance Management, Recruitment",Hr Manager
MBA,Mechanical,8.75,"C++, Electronics, Financial Modeling, Verilog",Embedded Systems Engineer
B.Com,Business Administration,6.04,"ERP, Operations Management, Process Improvement, Six Sigma, Supply Chain",Operations Manager
B.Tech,Civil,6.95,"CAD, Materials, Matlab, SolidWorks, Thermodynamics",Mechanical Engineer
M.Tech,Computer Science,6.79,"Firewall, Incident Response, Penetration Testing, Python, SIEM",Cybersecurity Analyst
B.Tech,Information Technology,7.83,"AWS, Azure, CI/CD, Docker, GCP, Terraform",Cloud Engineer
B.A.,English,7.89,"Content Strategy, Copywriting, Editing, Research, SEO, WordPress",Content Writer
B.Tech,Civil,9.15,"AutoCAD, Construction, STAAD.Pro, Structural Analysis",Civil Engineer
B.Tech,Business,6.65,"Algorithms, AutoCAD, Excel, Lean Manufacturing",Manufacturing Engineer
M.Tech,Mechanical,8.39,"CAD, Matlab, Mechanics, SolidWorks, Thermodynamics",Mechanical Engineer
B.Tech,Structural,7.44,"CAD, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
M.Tech,Electrical,7.14,"ANSYS, Manufacturing, Thermodynamics",Mechanical Engineer
MBA,Civil,7.74,"CAD, Materials, Mechanics, Thermodynamics",Mechanical Engineer
B.Tech,Mathematics,8.27," Process Modeling, Power BI, Python, SQL, Statistics",Data Analyst
M.Pharm,Pharmacy,7.19,"Drug Dispensing, Patient Counseling, Regulatory Compliance",Pharmacist
MBA,Human Resources,6.49,"Docker, Employee Engagement, HR Policies, Labor Laws, Performance Management",Hr Manager
B.Com,Marketing,9.09,"Accounting, Financial Modeling, SQL, Valuation",Financial Analyst
Diploma,Networking,6.69,"MongoDB, Node.js, REST APIs, React",Web Developer
B.E.,Electrical,8.01,"ANSYS, CAD, MATLAB, Manufacturing, Thermodynamics",Mechanical Engineer
BBA,Marketing,7.54,"Agile, Docker, Metrics, Stakeholder Management",Product Manager
B.Tech,Civil,8,"C, C++, Electronics, Microcontrollers, Verilog",Embedded Systems Engineer
M.Sc,Information Technology,8.47,"Azure, CI/CD, GCP",Cloud Engineer
MBA,Finance,8.27,"Communication, ERP, Lean, Operations Management, Six Sigma, Supply Chain",Operations Manager
B.E.,Networking,8.45,"CSS, HTML, REST APIs, React",Web Developer
BBA,Finance,8.33,"Excel, SQL, Valuation",Financial Analyst
M.Tech,Statistics,7.86,"MySQL, Performance Tuning, PostgreSQL",Database Administrator
B.Tech,Mechanical,7.56,"AutoCAD, Communication, Construction, Project Management, STAAD.Pro, Structural Analysis",Civil Engineer
B.Tech,Electronics,8.45,"C, Electronics, Python, Verilog",Embedded Systems Engineer
B.Tech,AI & ML,6.42," UML, Data Visualization, Power BI, SQL, Stakeholder Management",Data Analyst
M.Com,Marketing,6.45,"ERP, Git, Lean, Operations Management, Process Improvement, Six Sigma, Supply Chain",Operations Manager
B.A. LL.B,Law,6.76,"Compliance, Legal Research, Negotiation",Legal Advisor
M.Des,Game Design,5.63,"3D Modeling, SQL, Shader Programming, Unity",Game Developer
B.Tech,Data Science,8.49," Requirements Gathering, Data Visualization, Excel, Pandas, Process Modeling, Python, SQL, Statistics",Data Analyst
B.Tech,Business,7.58,"Accounting, Communication, Excel, M&A, Valuation",Investment Banker
B.Sc,Mechanical,8.51,"Accounting, Communication, Excel, Python, Statistics",Financial Analyst
B.Sc,Electronics,9.65," JavaScript,  Model Deployment,  Node.js,  Python, C++, Data Structures, SQL",Software Engineer
Diploma,Graphic Design,7.38,"Adobe Photoshop, Branding, Illustrator, InDesign",Graphic Designer
M.Tech,Civil,7.31,"AutoCAD, Construction, Project Management, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
M.Tech,Mathematics,6.04,"CI/CD, Docker, GCP, Linux",Cloud Engineer
B.Sc,Animation,8.24,"Content Strategy, Copywriting, Editing, Research, SEO, WordPress",Content Writer
B.Tech,Civil,7.35,"CAD, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
B.Tech,Mechanical,8.2," HTML,  PyTorch, C++, Data Structures, Java, Model Deployment, MongoDB, Python",Software Engineer
B.Tech,Electrical,7.68,"Circuit Design, PCB Design, Power Systems",Electrical Engineer
B.Des,Graphic Design,6.14,"Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.Tech,Electronics,7.54,"Linux, Network Monitoring, Routing, Switching, TCP/IP",Network Administrator
B.Com,Business Administration,8.32,"Bloomberg, Excel, SQL, Valuation",Financial Analyst
B.E.,Electrical,6.34,"AutoCAD, Construction, Problem Solving, Project Management, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
M.Sc,AI & ML,7.99," SQL,  Stakeholder Management, Data Visualization, Pandas, Power BI, SQL, Tableau",Data Analyst
B.Tech,Human Resources,7.03," Excel,  Python, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
B.A.,Game Design,6.63,"Prototyping, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.Sc,Graphic Design,7.03,"Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.Tech,Statistics,7.76,"Communication, Data Analysis, Experiment Design, LaTeX, Python, Research Methods, Statistics",Research Scientist
B.E.,Civil,7.43,"Communication, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
B.Sc,Civil,9.78,"Materials, Matlab, Mechanics, Thermodynamics",Mechanical Engineer
B.Tech,Computer Science,7.76," CSS,  Deep Learning,  Machine Learning,  MongoDB, Algorithms, C++, Git, Python",Software Engineer
B.Tech,Structural,7.35,"AutoCAD, Construction, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
B.Sc,Computer Science,6.79,"HTML, JavaScript, Linux, Node.js, React",Web Developer
B.Tech,AI & ML,5.6,"Backup & Recovery, NoSQL, PostgreSQL, SQL",Database Administrator
M.Tech,Mechanical,8.43,"AutoCAD, Construction, Project Management, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
M.Tech,Mechanical,6.57,"ANSYS, CAD, Communication, MATLAB, Manufacturing, Thermodynamics",Mechanical Engineer
B.Tech,Production,7.25,"MATLAB, Manufacturing, SolidWorks",Mechanical Engineer
Pharmacy,Pharmacy,7.12,"Clinical Knowledge, Docker, Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
B.Tech,Electronics,8.1,"CSS, HTML, Node.js",Web Developer
B.A.,Game Design,5.9,"Branding, Figma, Illustrator, InDesign, UI Design",Graphic Designer
M.Sc,Electronics,6.42,"Accounting, Communication, M&A, Valuation",Investment Banker
M.Pharm,Pharmacy,6.26,"Clinical Knowledge, Drug Dispensing, Pharmacology",Pharmacist
B.Sc,Graphic Design,7.4,"Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
MBA,Electronics,9.09," NLP,  Node.js,  REST APIs, C++, Data Structures, Git, Java, Model Deployment, SQL",Software Engineer
B.E.,Statistics,8.77," Stakeholder Management, Excel, Pandas, SQL, Statistics, Tableau",Data Analyst
B.Sc,Electronics,9.74," HTML,  NLP,  Problem Solving,  Python, Data Structures, Java, Linux, Python",Software Engineer
B.Tech,Business Administration,8.09,"Agile, Metrics, Product Strategy, Roadmapping, Stakeholder Management, User Stories",Product Manager
MBA,Electronics,6.33,"Materials, Matlab, Mechanics, Thermodynamics",Mechanical Engineer
B.Tech,Information Technology,5.95,"Network Monitoring, Problem Solving, Routing, Switching, TCP/IP",Network Administrator
M.Des,English,7.65,"Adobe Photoshop, Branding, Figma, SQL",Graphic Designer
B.Tech,Information Technology,7.08,"Backup & Recovery, MySQL, NoSQL, Performance Tuning, PostgreSQL, SQL",Database Administrator
B.Tech,Data Science,7,"Backup & Recovery, MySQL, Performance Tuning, SQL",Database Administrator
MBA,Mechanical,9.68,"Matlab, Mechanics, SolidWorks",Mechanical Engineer
MBA,Finance,8.13," SQL,  Tableau, Docker, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
Diploma,Graphic Design,7.47,"C#, C++, Game Design, Shader Programming, Unreal Engine",Game Developer
B.Tech,Finance,8.5,"Accounting, Excel, Python, Statistics",Financial Analyst
B.Tech,Statistics,8.56,"CI/CD, GCP, Kubernetes, Terraform",Cloud Engineer
B.E.,Networking,6.91,"Firewall, Incident Response, Network Security, Penetration Testing, SIEM",Cybersecurity Analyst
M.Pharm,Pharmacy,7.58,"Drug Dispensing, Patient Counseling, Pharmacology",Pharmacist
B.Sc,Civil,8.98,"Microcontrollers, Python, RTOS, Verilog",Embedded Systems Engineer
M.Com,Operations,8.35,"Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
B.Tech,Mathematics,7.05," UML, Data Visualization, Excel, Pandas, Power BI, SQL, Stakeholder Management, Tableau",Data Analyst
B.Tech,Operations,6.74,"Agile, Metrics, Stakeholder Management, User Stories",Product Manager
B.A.,Journalism,6.99,"Content Marketing, Google Analytics, PPC, SEM, SEO",Digital Marketing Specialist
B.Sc,Computer Science,9.21,"Accounting, Materials, Matlab, Thermodynamics",Mechanical Engineer
B.Des,Design,5.69,"3D Modeling, C++, Excel, Game Design, Shader Programming",Game Developer
B.Tech,Human Resources,7.63," Pandas,  Tableau, Docker, Process Modeling, Requirements Gathering, UML",Business Analyst
M.Sc,Computer Science,7.8,"Backup & Recovery, MySQL, PostgreSQL, SQL",Database Administrator
B.Tech,Mathematics,7.08," Algorithms,  Linux, Model Deployment, NLP, PyTorch",AI Engineer
M.Sc,Finance,8.24,"CNC, Electronics, Python, RTOS, Verilog",Embedded Systems Engineer
B.Des,Design,7.86,"3D Modeling, C#, Shader Programming, Unity",Game Developer
M.Tech,Statistics,7.83," Java,  Python, Deep Learning, Docker, Machine Learning, PyTorch",AI Engineer
B.Sc,Graphic Design,9.38,"Branding, Figma, Illustrator, InDesign, Typography, UI Design",Graphic Designer
B.Des,Game Design,8.21,"3D Modeling, C++, Game Design, Linux, Unity, Unreal Engine",Game Developer
MBA,Civil,7.73,"C++, Communication, RTOS, Verilog",Embedded Systems Engineer
B.Tech,Civil,7.1,"CAD, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
B.Sc,Design,7.66,"Figma, Illustrator, Typography, UI Design",Graphic Designer
M.Tech,Data Science,8.14," SQL,  Stakeholder Management, Pandas, Power BI, Statistics",Data Analyst
B.Tech,Information Technology,6.77," Requirements Gathering,  Stakeholder Management, Data Visualization, Python, Statistics",Data Analyst
B.Sc,Electronics,7.54,"C++, Microcontrollers, Python, RTOS",Embedded Systems Engineer
M.Sc,Mechanical,8.58,"CAD, Communication, Excel, M&A, Valuation",Investment Banker
M.Pharm,Pharmacy,8.09,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
BBA,Human Resources,7.86,"ERP, Process Improvement, Six Sigma",Operations Manager
B.Tech,Marketing,7.83,"Accounting, Bloomberg, Excel, Power BI, SQL, Valuation",Financial Analyst
M.Com,Finance,7.44,"Agile, Metrics, Product Strategy, Roadmapping, Stakeholder Management, User Stories",Product Manager
MBA,Marketing,6.79,"Agile, Product Strategy, Stakeholder Management",Product Manager
B.Pharm,Pharmacy,6.46,"Clinical Knowledge, Linux, Patient Counseling, Regulatory Compliance",Pharmacist
B.Tech,Business Administration,7.32,"Docker, Excel, Financial Modeling, Power BI, SQL, Valuation",Financial Analyst
B.Pharm,Pharmacy,8.08,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Regulatory Compliance",Pharmacist
BBA,Marketing,7.88,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
B.Sc,Journalism,7.05,"Copywriting, Editing, Research, SEO, WordPress",Content Writer
M.Sc,Civil,9.51," Node.js,  PyTorch,  Python,  REST APIs, C++, Data Structures, Java, Python",Software Engineer
Diploma,Animation,8.06,"3D Modeling, C#, Shader Programming",Game Developer
M.Tech,Electronics,6.45,"Electronics, Materials, Mechanics, SolidWorks, Thermodynamics",Mechanical Engineer
B.Tech,Mathematics,7.3," Requirements Gathering, Excel, Power BI, Process Modeling, Python, SQL, Statistics",Data Analyst
MBA,Business Administration,7.92,"ERP, Lean, Operations Management, Supply Chain",Operations Manager
B.Tech,Finance,7.32,"ERP, Lean, Operations Management, Process Improvement, Six Sigma, Supply Chain",Operations Manager
B.Tech,Production,7.46,"Circuit Design, Embedded Systems, Git, MATLAB, PCB Design, Power Systems",Electrical Engineer
Diploma,Graphic Design,8.11,"Adobe Photoshop, Branding, InDesign",Graphic Designer
B.A.,Journalism,6.46,"Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
Ph.D,Statistics,8.71,"CI/CD, Docker, GCP, Kubernetes, Terraform",Cloud Engineer
B.Tech,Electronics,6.38,"Accounting, Communication, Excel, RTOS",Financial Analyst
B.Sc,Information Technology,9.28," Algorithms,  Excel, Machine Learning, PyTorch, TensorFlow",AI Engineer
B.Tech,Marketing,7.86," Excel,  SQL, Process Modeling, Requirements Gathering, SQL, Stakeholder Management",Business Analyst
Diploma,Networking,7.3,"Cisco, Linux, Network Monitoring, Routing, Switching, TCP/IP",Network Administrator
B.Sc,Graphic Design,8.26,"C++, Game Design, Shader Programming, Unity, Unreal Engine",Game Developer
B.Tech,Operations,6.96,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
B.Tech,Mathematics,8.29," Data Structures, Deep Learning, Model Deployment, PyTorch, SQL, TensorFlow",AI Engineer
BBA,Finance,6.05,"Employee Engagement, HR Policies, Performance Management",Hr Manager
B.Tech,Business Administration,7.51,"Accounting, Bloomberg, Excel, Financial Modeling, Power BI, SQL, Valuation",Financial Analyst
MBA,Finance,8.31,"CNC, Excel, Matlab",Manufacturing Engineer
B.Sc,Design,7.63,"Illustrator, InDesign, Typography, UI Design",Graphic Designer
B.Sc,Design,7.14,"3D Modeling, Docker, Unity, Unreal Engine",Game Developer
B.Tech,Data Science,9.26," Requirements Gathering,  Stakeholder Management, Pandas, Python, SQL, Tableau",Data Analyst
B.Tech,Finance,5.42,"ERP, Lean, Operations Management, Process Improvement, Six Sigma",Operations Manager
B.Sc,Journalism,6.04,"Content Strategy, Research, SEO, WordPress",Content Writer
B.Tech,Civil,8.63,"CAD, Linux, MATLAB, Manufacturing",Mechanical Engineer
Diploma,Computer Science,8.3,"Communication, Incident Response, Network Security, Penetration Testing, Python",Cybersecurity Analyst
BBA,Marketing,8.7,"ERP, Lean, Operations Management, Six Sigma, Supply Chain",Operations Manager
M.Tech,Mechanical,6.19,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems",Electrical Engineer
B.Sc,Game Design,6.05,"3D Modeling, C#, C++",Game Developer
B.Com,Mass Communication,8.07,"Content Marketing, Google Analytics, PPC, SEM, SEO, SQL",Digital Marketing Specialist
BBA,Marketing,6,"Agile, Metrics, Product Strategy, Roadmapping, Stakeholder Management, User Stories",Product Manager
B.Com,Finance,5.91,"Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
M.Sc,Electronics,9.41,"C, C++, Microcontrollers, Python",Embedded Systems Engineer
MBA,Business Administration,9," Tableau, Power BI, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
B.Sc,Animation,7.17,"Adobe Photoshop, Branding, Figma, Illustrator, InDesign, Typography",Graphic Designer
